atc,name,dc_id,dm_id,ids_annotations,dc_annotations,id,cuis_dc,cuis_ids,cuis_overlap,cuis_overlap_c,terms_dc,cuis_ids_context,cuis_ids_indications,cuis_overlap_ind,cuis_ids_indications_nic,ids_umls,dc_umls,overlap_umls,overlap_umls_context,ids_context
C03CA02,bumetanide                                                                                                                                                                                                                                                ,427,b5a68154-8003-4b80-81e2-e926524fb72c                                                                                                                                                                                                                      ,"DOID_6000,UMLS_CUI:C0018802,UMLS_CUI:C0018801,lable|DOID_1184,UMLS_CUI:C0027726,lable|DB00887,lable","Peripheral Edema due to Chronic Heart Failure,,|Edema due to Hepatic Cirrhosis,,|Pulmonary Edema due to Chronic Heart Failure,,|Renal Disease with Edema,,|Edema,C0013604,|",1703,1,3,0,0,5,3,0,0,0,"C0018802,C0018801,C0027726",C0013604,,,"C0018802,C0018801,C0027726"
C09CA03,valsartan                                                                                                                                                                                                                                                 ,2806,9402b022-5809-4251-dfef-54f6ef5723fe                                                                                                                                                                                                                      ,"DOID:6713,confirmed,UMLS_CUI:C0038454,UMLS_CUI:C0007820,indication,DM|UMLS_CUI: C0018801,confirmed,indication,DM|DOID:5844,confirmed,indication,DM,UMLS_CUI:C0027051|DOID:10763,confirmed,indication,UMLS_CUI:C0020538,DM|label,DB00177|confirmed,UMLS_CUI:C0018801,indication|DOID_5844,confirmed,UMLS_CUI:C0027051,indication|DOID_10763,confirmed,UMLS_CUI:C0038454,indication|DOID_10763,confirmed,UMLS_CUI:C0020538,indication","Chronic heart failure,C0264716,|Hypertensive disorder,C0020538,DOID:10763|Left ventricular cardiac dysfunction,C1997351,|",1744,3,6,1,0,3,0,6,1,6,"C0038454,C0007820, C0018801,C0027051,C0020538,C0018801","C0264716,C0020538,C1997351",C0020538,,
C09DX04,valsartan and sacubitril                                                                                                                                                                                                                                  ,2806,9402b022-5809-4251-dfef-54f6ef5723fe                                                                                                                                                                                                                      ,"DOID:6713,confirmed,UMLS_CUI:C0038454,UMLS_CUI:C0007820,indication,DM|UMLS_CUI: C0018801,confirmed,indication,DM|DOID:5844,confirmed,indication,DM,UMLS_CUI:C0027051|DOID:10763,confirmed,indication,UMLS_CUI:C0020538,DM|label,DB00177|confirmed,UMLS_CUI:C0018801,indication|DOID_5844,confirmed,UMLS_CUI:C0027051,indication|DOID_10763,confirmed,UMLS_CUI:C0038454,indication|DOID_10763,confirmed,UMLS_CUI:C0020538,indication","Chronic heart failure,C0264716,|Hypertensive disorder,C0020538,DOID:10763|Left ventricular cardiac dysfunction,C1997351,|",1686,3,6,1,0,3,0,6,1,6,"C0038454,C0007820, C0018801,C0027051,C0020538,C0018801","C0264716,C0020538,C1997351",C0020538,,
C09DB08,valsartan and lercanidipine                                                                                                                                                                                                                               ,2806,9402b022-5809-4251-dfef-54f6ef5723fe                                                                                                                                                                                                                      ,"DOID:6713,confirmed,UMLS_CUI:C0038454,UMLS_CUI:C0007820,indication,DM|UMLS_CUI: C0018801,confirmed,indication,DM|DOID:5844,confirmed,indication,DM,UMLS_CUI:C0027051|DOID:10763,confirmed,indication,UMLS_CUI:C0020538,DM|label,DB00177|confirmed,UMLS_CUI:C0018801,indication|DOID_5844,confirmed,UMLS_CUI:C0027051,indication|DOID_10763,confirmed,UMLS_CUI:C0038454,indication|DOID_10763,confirmed,UMLS_CUI:C0020538,indication","Chronic heart failure,C0264716,|Hypertensive disorder,C0020538,DOID:10763|Left ventricular cardiac dysfunction,C1997351,|",1687,3,6,1,0,3,0,6,1,6,"C0038454,C0007820, C0018801,C0027051,C0020538,C0018801","C0264716,C0020538,C1997351",C0020538,,
L01BA04,pemetrexed                                                                                                                                                                                                                                                ,2073,f5a860f3-37ec-429c-ae04-9c88d7c55c08                                                                                                                                                                                                                      ,"DOID_7474,UMLS_CUI:C0812413,indication,DM|target:UMLS_CUI:C4083276,role:context,UMLS_CUI:C0278940|target:UMLS_CUI:C4083276,role:context,UMLS_CUI:C0814469|target:UMLS_CUI:C4083276,role:co-prescribed medications,DB00515|UMLS_CUI:C4083276,indication,DM|DB00642,label","Malignant mesothelioma of pleura,C0812413,DOID:7474|Non-small cell lung cancer,C0007131,DOID:3908|",1768,2,4,1,0,2,2,2,1,2,"C0812413,C0278940,C0814469,C4083276","C0812413,C0007131",C0812413,,"C0278940,C0814469"
C05BB04,sodium tetradecyl sulfate                                                                                                                                                                                                                                 ,3550,f5a860f3-37ec-429c-ae04-9c88d7c55c08                                                                                                                                                                                                                      ,"DOID_7474,UMLS_CUI:C0812413,indication,DM|target:UMLS_CUI:C4083276,role:context,UMLS_CUI:C0278940|target:UMLS_CUI:C4083276,role:context,UMLS_CUI:C0814469|target:UMLS_CUI:C4083276,role:co-prescribed medications,DB00515|UMLS_CUI:C4083276,indication,DM|DB00642,label","Venous varices,C0042345,DOID:799|",1682,1,4,0,0,1,2,2,0,2,"C0812413,C0278940,C0814469,C4083276",C0042345,,,"C0278940,C0814469"
C05BB02,polidocanol                                                                                                                                                                                                                                               ,4614,90550274-6605-44de-8c25-c5591080270f                                                                                                                                                                                                                      ,"DOID_799,indication,confirmed|label,DB06811","Venous varices,C0042345,DOID:799|",1681,1,0,0,0,1,0,0,0,0,,C0042345,,,
L01XX02,asparaginase                                                                                                                                                                                                                                              ,5070,30bdf2ea-008b-4cbb-81e4-c3474f2ad286                                                                                                                                                                                                                      ,"DOID_9952,UMLS_CUI:C0023449,indication,DM|label,DB00023","Acute lymphoid leukemia, disease,C0023449,DOID:9952|",1793,1,1,1,0,1,0,1,1,1,C0023449,C0023449,C0023449,,
C07AB12,nebivolol                                                                                                                                                                                                                                                 ,1887,8f98d499-f68f-4148-8ec3-8c66ef184a83                                                                                                                                                                                                                      ,"indication,confirmed,DOID_10763|DB04861,label","Hypertensive disorder,C0020538,DOID:10763|",1727,1,0,0,0,1,0,0,0,0,,C0020538,,,
C10AX11,mipomersen                                                                                                                                                                                                                                                ,4747,34de65be-f110-4000-a0f1-cb00ec98658f                                                                                                                                                                                                                      ,"indication,confirmed,DOID_13810,UMLS_CUI:C0342881|label,DB05528","Familial hypercholesterolemia - homozygous,C0342881,|",1692,1,1,1,0,1,0,1,1,1,C0342881,C0342881,C0342881,,
C01EB18,ranolazine                                                                                                                                                                                                                                                ,2359,8d442b8c-97a8-40a9-8603-f9cd0542cedc                                                                                                                                                                                                                      ,"indication,confirmed,UMLS_CUI:C0340288|DB00243,label","Angina pectoris,C0002962,|",1663,1,1,0,0,1,0,1,0,1,C0340288,C0002962,,,
C09CA04,irbesartan                                                                                                                                                                                                                                                ,1481,e8635a1c-ae06-4e23-99f7-e704f91d6f43                                                                                                                                                                                                                      ,"indication,JUSTATEST!|DOID_576,UMLS_CUI:C0033687,indication,DM,confirmed|DOID_557,UMLS_CUI:C0022658,contraindication|DOID_6713,UMLS_CUI:C0007820,UMLS_CUI:C0038454,indication,DM,confirmed|DOID_5844,UMLS_CUI:C0027051,indication,DM,confirmed|DOID_10763,UMLS_CUI:C0020538,indication,DM,confirmed|label,DB01029","Hypertensive disorder,C0020538,DOID:10763|Diabetic renal disease,C0011881,|",1745,2,6,1,0,2,1,5,1,5,"C0033687,C0022658,C0007820,C0038454,C0027051,C0020538","C0020538,C0011881",C0020538,,C0022658
L01XC06,cetuximab                                                                                                                                                                                                                                                 ,4954,8bc6397e-4bd8-4d37-a007-a327e4da34d9                                                                                                                                                                                                                      ,"label,DB00002|target:UMLS_CUI:C0948380,role:co-prescribed medications,DB00762|target:UMLS_CUI:C0948380,role:genetic,UMLS_CUI:C0034802|target:UMLS_CUI:C0948380,role:genetic,UMLS_CUI:C1705982|UMLS_CUI:C0948380,indication,DM|target:UMLS_CUI:C1168401,target:DOID_5520,role:co-therapies,UMLS_CUI:C1514162|target:UMLS_CUI:C1168401,target:DOID_5520,role:co-therapies,UMLS_CUI:C0034619|DOID_5520,UMLS_CUI:C1168401,indication,DM","Squamous cell carcinoma of mouth,C0585362,|Squamous cell carcinoma of nose,C3163899,|Squamous cell carcinoma of pharynx,C1319317,|Squamous cell carcinoma of larynx,C0280324,DOID:2876|Malignant tumor of colon,C0007102,DOID:219|",1796,5,6,0,0,5,4,2,0,2,"C0034802,C1705982,C0948380,C1514162,C0034619,C1168401","C0585362,C3163899,C1319317,C0280324,C0007102",,,"C0034802,C1705982,C1514162,C0034619"
C07AB05,betaxolol                                                                                                                                                                                                                                                 ,356,4aa6e51b-80a3-4022-87e2-0692f24ae9ca                                                                                                                                                                                                                      ,"label,DB00195|DOID:10763,UMLS_CUI:C0020538,confirmed,indication|indication,confirmed,DOID_10763,UMLS_CUI:C0020538","Hypertensive disorder,C0020538,DOID:10763|Ocular hypertension,C0028840,DOID:9282|Open-angle glaucoma,C0017612,DOID:1067|",1724,3,1,1,0,3,0,1,1,1,C0020538,"C0020538,C0028840,C0017612",C0020538,,
C03DB02,triamterene                                                                                                                                                                                                                                               ,2728,ab816790-a45b-406d-8919-edfd2a11e9a9                                                                                                                                                                                                                      ,"label,DB00384","Peripheral Edema due to Chronic Heart Failure,,|Hypertensive disorder,C0020538,DOID:10763|Pulmonary Edema due to Chronic Heart Failure,,|Edema,C0013604,|",1707,2,0,0,0,4,0,0,0,0,,"C0020538,C0013604",,,
L01XA03,oxaliplatin                                                                                                                                                                                                                                               ,4210,3f680321-398d-4941-a5d5-e3cdef549ee0                                                                                                                                                                                                                      ,"label,DB00526|UMLS_CUI:C0948380,indication,DM|UMLS_CUI:C0278480,indication,AT","Lymph Node Positive Colorectal Carcinoma,,|Metastasis from malignant tumor of colon,C1282500,|",1782,1,2,0,0,2,0,2,0,2,"C0948380,C0278480",C1282500,,,
L01CA01,vinblastine                                                                                                                                                                                                                                               ,2823,f073b58e-56d6-4c8d-a2ce-b37719402d77                                                                                                                                                                                                                      ,"label,DB00570|target:DOID_2998,target:UMLS_CUI:C0153594,role:co-prescribed medications,DB00290|target:UMLS_CUI:C0019829,role:co-prescribed medications,DB01168|target:UMLS_CUI:C0019829,role:co-prescribed medications,DB00635|target:UMLS_CUI:C0019829,role:co-prescribed medications,DB00888|target:UMLS_CUI:C0019829,role:co-therapies,UMLS_CUI:C1521750|target:UMLS_CUI:C0678222,target:DOID_3459,role:co-therapies,UMLS_CUI:C0279025|target:DOID_3459,target:UMLS_CUI:C0678222,role:co-therapies,UMLS_CUI:C0038900|DOID_3459,UMLS_CUI:C0678222,indication,DM|DOID_3594,UMLS_CUI:C0008497,indication,DM|target:DOID_2571,target:UMLS_CUI:C0023381,role:context,DOID_3405,UMLS_CUI:C0019618|DOID_2571,UMLS_CUI:C0023381,indication,DM|DOID_8632,UMLS_CUI:C0036220,indication,DM|DOID_2998,UMLS_CUI:C0153594,indication,DM|DOID_8691,UMLS_CUI:C0026948,indication,DM|DOID_8538,UMLS_CUI:C0024302,indication,DM|DOID_0080147,indication,DM|target:UMLS_CUI:C0019829,role:context,UMLS_CUI:C0474948|UMLS_CUI:C0019829,indication,SYM","Gestational trophoblastic neoplasia,C1135868,DOID:3590|Hodgkins disease,C0019829,DOID:8651,DOID:8567|Metastatic Breast Carcinoma,,|Langerhans cell histiocytosis, disseminated,C0023381,DOID:2571|Malignant tumor of testis,C0153594,DOID:2998|Non-Hodgkins lymphoma,C0024305,DOID:8675|Mycosis fungoides,C0026948,DOID:8691|Kaposis sarcoma,C0036220,DOID:8632|Carcinoma of female breast,C3163805,|",1773,8,13,5,0,9,5,8,5,8,"C1521750,C0279025,C0038900,C0678222,C0008497,C0019618,C0023381,C0036220,C0153594,C0026948,C0024302,C0474948,C0019829","C1135868,C0019829,C0023381,C0153594,C0024305,C0026948,C0036220,C3163805","C0019829,C0023381,C0153594,C0026948,C0036220",,"C1521750,C0279025,C0038900,C0019618,C0474948"
C03AA06,trichlormethiazide                                                                                                                                                                                                                                        ,2733,1662af63-c84f-43e4-93e3-c6389ce519be                                                                                                                                                                                                                      ,"label,DB01021","Hypertensive disorder,C0020538,DOID:10763|",1700,1,0,0,0,1,0,0,0,0,,C0020538,,,
C01BD07,dronedarone                                                                                                                                                                                                                                               ,4112,7fa41601-7fb5-4155-8e50-2ae903f0d2d6                                                                                                                                                                                                                      ,"label,DB04855|indication,confirmed,DOID_0060224","Atrial fibrillation,C0004238,DOID:0060224|Paroxysmal atrial fibrillation,C0235480,|",1655,2,0,0,0,2,0,0,0,0,,"C0004238,C0235480",,,
C08CA16,clevidipine                                                                                                                                                                                                                                               ,674,095081a0-1398-11dc-82e1-0002a5d5c51b                                                                                                                                                                                                                      ,"label,DB04920|indication,confirmed,DOID_10763","Hypertensive disorder,C0020538,DOID:10763|",1735,1,0,0,0,1,0,0,0,0,,C0020538,,,
C03XA01,tolvaptan                                                                                                                                                                                                                                                 ,4110,5526617c-c7b9-4556-886d-729bbabbc566                                                                                                                                                                                                                      ,"label,DB06212|UMLS_CUI:C0020625,indication,confirmed,SYM","Polycystic kidney disease, adult type,C0085413,|Syndrome of inappropriate vasopressin secretion,C0021141,DOID:3401|Hyponatremia,C0020625,|",1708,3,1,1,0,3,0,1,1,1,C0020625,"C0085413,C0021141,C0020625",C0020625,,
C01CA17,midodrine                                                                                                                                                                                                                                                 ,1803,937e679e-1e86-48de-a69f-83ed7a98e76e                                                                                                                                                                                                                      ,"MISSING,indication,confirmed|UMLS_CUI:C0020651,indication,SYM,confirmed|DB00211,label","Orthostatic hypotension,C0020651,|",1658,1,1,1,0,1,0,1,1,1,C0020651,C0020651,C0020651,,
C08CA04,nicardipine                                                                                                                                                                                                                                               ,1909,58896863-63ac-4b99-9d3c-97ca472357c7                                                                                                                                                                                                                      ,"role:compatible medication,UMLS_CUI:C0003364|DOID:10763,UMLS_CUI:C0020538,indication|DB00622,label","Angina pectoris,C0002962,|Hypertensive disorder,C0020538,DOID:10763|",1732,2,2,1,0,2,1,1,1,1,"C0003364,C0020538","C0002962,C0020538",C0020538,,C0003364
L01XX25,bexarotene                                                                                                                                                                                                                                                ,361,2d1eb4bd-51f9-4c9b-9fb1-0be5e30a3dc5                                                                                                                                                                                                                      ,"target:DOID_0060061,role:context,UMLS_CUI:C0205269|DOID_0060061,indication,DM|label,DB00307","Primary cutaneous T-cell lymphoma,C0079773,|",1797,1,1,0,0,1,1,0,0,0,C0205269,C0079773,,,C0205269
L01XX14,tretinoin                                                                                                                                                                                                                                                 ,2722,264138c1-9e5f-45ef-be87-79ca97c989d9                                                                                                                                                                                                                      ,"target:DOID_0060318,target:UMLS_CUI:C0023487,role:genetic,UMLS_CUI:C3888906|target:DOID_0060318,target:UMLS_CUI:C0023487,role:context,UMLS_CUI:C0035052|DOID_0060318,UMLS_CUI:C0023487,indication,DM|label,DB00755","Acute promyelocytic leukemia, FAB M3,C0023487,DOID:0060318|Facial Fine Wrinkling,,|Kaposis Sarcoma Skin Lesions,,|Severe Recalcitrant Nodular Acne,,|Fine Wrinkling,,|Mottle Hyperpigmentation,,|Acne vulgaris,C0001144,|Hyperkeratosis,C0870082,|Solar Lentigines,,|Chloasma,C0025218,|",1789,4,3,1,0,10,2,1,1,1,"C3888906,C0035052,C0023487","C0023487,C0001144,C0870082,C0025218",C0023487,,"C3888906,C0035052"
L01XX19,irinotecan                                                                                                                                                                                                                                                ,1482,80f3b79c-a399-45b3-b755-8535457719af                                                                                                                                                                                                                      ,"target:DOID_1520,target:UMLS_CUI:C0699790,target:DOID_1993,target:UMLS_CUI:C0007113,target:UMLS_CUI:C0949022,role:co-prescribed medications,DB00650|target:DOID_1520,target:UMLS_CUI:C0699790,target:DOID_1993,target:UMLS_CUI:C0007113,target:UMLS_CUI:C0949022,role:co-prescribed medications,DB00544|target:DOID_1520,target:UMLS_CUI:C0699790,target:DOID_1993,target:UMLS_CUI:C0007113,target:UMLS_CUI:C0949022,role:context,UMLS_CUI:C0242656|target:DOID_1520,target:UMLS_CUI:C0699790,target:DOID_1993,target:UMLS_CUI:C0007113,target:UMLS_CUI:C0949022,role:context,UMLS_CUI:C0034897|DOID_1520,UMLS_CUI:C0699790,DOID_1993,UMLS_CUI:C0007113,UMLS_CUI:C0949022,indication,DM|label,DB00762","Metastasis from malignant tumor of colon,C1282500,|Secondary malignant neoplasm of pancreas,C0346976,|",1790,2,5,0,0,2,2,3,0,3,"C0242656,C0034897,C0699790,C0007113,C0949022","C1282500,C0346976",,,"C0242656,C0034897"
L01AX03,temozolomide                                                                                                                                                                                                                                              ,2589,08e25b46-5e48-4027-bdbc-73e85e0ae4a1                                                                                                                                                                                                                      ,"target:DOID_3078,target:UMLS_CUI:C0334579,role:context,UMLS_CUI:C0205269|DOID_3078,UMLS_CUI:C0334579,indication,DM|target:DOID_3068,target:UMLS_CUI:C0017636,target:UMLS_CUI:C1514422,target:UMLS_CUI:C0278878,role:co-therapies,UMLS_CUI:C0814469|target:DOID_3068,target:UMLS_CUI:C0017636,target:UMLS_CUI:C1514422,target:UMLS_CUI:C0278878,role:co-therapies,UMLS_CUI:C0034619|DOID_3068,UMLS_CUI:C0017636,UMLS_CUI:C1514422,UMLS_CUI:C0278878,indication,DM|label,DB00853","Astrocytoma, anaplastic,C0334579,DOID:3078|Glioblastoma multiforme of brain,C0349543,DOID:3073|",1764,2,7,1,0,2,3,4,1,4,"C0205269,C0334579,C0814469,C0034619,C0017636,C1514422,C0278878","C0334579,C0349543",C0334579,,"C0205269,C0814469,C0034619"
L01CB01,etoposide                                                                                                                                                                                                                                                 ,3944,508a418e-985f-4208-9324-2230655bb5c2                                                                                                                                                                                                                      ,"target:DOID_3908,target:UMLS_CUI:C0007131,role:co-therapies,UMLS_CUI:C0729502|DOID_3908,UMLS_CUI:C0007131,indication,DM|label,DB00773","Malignant tumor of testis,C0153594,DOID:2998|Small cell carcinoma of lung,C0149925,DOID:5409|",1759,2,2,0,0,2,1,1,0,1,"C0729502,C0007131","C0153594,C0149925",,,C0729502
L01XX23,mitotane                                                                                                                                                                                                                                                  ,1820,e9fba7d4-a0ec-4bfa-9b5b-ec97a9710fd3                                                                                                                                                                                                                      ,"target:DOID_3948,target:UMLS_CUI:C0206686,role:context,UMLS_CUI:C0205300|target:DOID_3948,target:UMLS_CUI:C0206686,role:context,UMLS_CUI:C0205245|target:DOID_3948,target:UMLS_CUI:C0206686,role:context,UMLS_CUI:C0205187|DOID_3948,UMLS_CUI:C0206686,indication,DM|label,DB00648","Carcinoma in situ of adrenal cortex,C0686510,|",1766,1,4,0,0,1,3,1,0,1,"C0205300,C0205245,C0205187,C0206686",C0686510,,,"C0205300,C0205245,C0205187"
C08CA01,amlodipine                                                                                                                                                                                                                                                ,183,1cec7a02-b7a5-49e1-ab64-3a4dab4149d2                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0002963,role:co-therapies,UMLS_CUI:C3537168|UMLS_CUI:C0002963,indication,DM|DOID:3363,DOID:10506,DOID:3394,DOID:9420,DOID:3393,UMLS_CUI:C0010068,UMLS_CUI:C0010054,UMLS_CUI:C0264694,UMLS_CUI:C0151744,UMLS_CUI:C1956346,indication,SYM|target:UMLS_CUI:C0020538,role:co-therapies,UMLS_CUI:C0003364|DOID:10763,UMLS_CUI:C0020538,indication,DM|label,DB00381","Prinzmetal angina,C0002963,|Cerebrovascular accident,C0038454,DOID:6713|Hypertensive disorder,C0020538,DOID:10763|Angina pectoris,C0002962,|Primary Prevention of Coronary Heart Disease,,|Myocardial Infarction Prevention,,|",1729,4,9,2,0,6,2,7,2,7,"C3537168,C0002963,C0010068,C0010054,C0264694,C0151744,C1956346,C0003364,C0020538","C0002963,C0038454,C0020538,C0002962","C0002963,C0020538",,"C3537168,C0003364"
C03AA08,methyclothiazide                                                                                                                                                                                                                                          ,1759,4910dad2-c533-4232-85bf-e6b0235379c2                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0013604-C0023890,role:co-therapies|UMLS_CUI:C0013604-C0022661,indication,SYM|UMLS_CUI:C0013604-C0156221,indication,SYM|UMLS_CUI:C0013604-C0027726,indication,SYM|target:UMLS_CUI:C0013604,role:co-therapies,UMLS_CUI:C0279494|target:UMLS_CUI:C0013604,role:co-therapies,UMLS_CUI:C0149783|target:UMLS_CUI:C0013608,role:co-therapies|target:UMLS_CUI:C4013784,role:co-therapies,UMLS_CUI:C0003364|DOID:10763,UMLS_CUI:C0020538,indication,SYM|DB00232,label","Hypertensive disorder,C0020538,DOID:10763|Peripheral Edema due to Chronic Heart Failure,,|Renal Disease with Edema,,|Edema,C0013604,|Pulmonary Edema due to Chronic Heart Failure,,|",1701,2,7,1,0,5,3,4,1,4,"C0013604-C0022661,C0013604-C0156221,C0013604-C0027726,C0279494,C0149783,C0003364,C0020538","C0020538,C0013604",C0020538,,"C0279494,C0149783,C0003364"
C02DA01,diazoxide                                                                                                                                                                                                                                                 ,854,b16c7832-2fd9-49af-b923-1dc0d91fd6e2                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0020615,target:DOID_9993,role:context,DOID_2018,UMLS_CUI:C0020459|DOID_9993,UMLS_CUI:C0020615,indication,SYM|label,DB01119","Hyperinsulinism,C0020459,DOID:2018|Insulinoma,C0021670,DOID:3892|Islet cell hyperplasia,C0027773,DOID:13317|Hypertensive urgency,C0745138,|Hypertensive Emergencies,,|",1671,4,2,1,1,5,1,1,0,1,"C0020459,C0020615","C0020459,C0021670,C0027773,C0745138",C0020459,C0020459,C0020459
L01XX24,pegaspargase                                                                                                                                                                                                                                              ,5082,d046ec54-9ac8-4c9f-87a7-69e9900d8016                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0023449,target:DOID_9952,role:context,UMLS_CUI:C0013182|target:UMLS_CUI:C0023449,target:DOID_9952,role:co-therapies,UMLS_CUI:C0013218|DOID_9952,UMLS_CUI:C0023449,indication,DM|label,DB00059","Acute lymphoid leukemia, disease,C0023449,DOID:9952|",1792,1,3,1,0,1,2,1,1,1,"C0013182,C0013218,C0023449",C0023449,C0023449,,"C0013182,C0013218"
L01XX03,altretamine                                                                                                                                                                                                                                               ,141,90a5e59a-bee8-404a-ad69-fabddeaf27f9                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0029925,role:co-prescribed medications,DB00515|UMLS_CUI:C0029925,DOID_2394,indication,DM|label,DB00488","Malignant tumor of ovary,C1140680,DOID:2394|",1787,1,1,0,0,1,0,1,0,1,C0029925,C1140680,,,
C05AA11,fluocinonide                                                                                                                                                                                                                                              ,1205,1a650699-51a4-4092-46a4-9aa4053aa621                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0037274,role:context,UMLS_CUI:C1622731|UMLS_CUI:C0037274,indication,DM|label,DB01047","Lichen simplex chronicus,C0149922,|Seborrheic dermatitis,C0036508,DOID:8741,DOID:6498|Scalp psoriasis,C0406326,|Contact dermatitis,C0011616,DOID:2773|Plaque psoriasis,C0406317,|Pruritus of genital organs,C0033777,|Inflammatory dermatosis,C3875321,DOID:2723|Atopic dermatitis,C0011615,DOID:3310|Granuloma annulare,C0085074,DOID:3777|Eruption of skin,C0015230,DOID:0050486|Pruritus ani,C0033775,|Discoid lupus erythematosus,C0024138,|Primary cutaneous T-cell lymphoma,C0079773,|",1717,13,2,0,0,13,1,1,0,1,"C1622731,C0037274","C0149922,C0036508,C0406326,C0011616,C0406317,C0033777,C3875321,C0011615,C0085074,C0015230,C0033775,C0024138,C0079773",,,C1622731
L01DB02,daunorubicin                                                                                                                                                                                                                                              ,786,faf9bf9c-017a-4e28-9a53-23fecda0d39e                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0153886,role:context,UMLS_CUI:C0023440|target:UMLS_CUI:C0153886,role:context,UMLS_CUI:C0023470|target:UMLS_CUI:C0153886,role:context,UMLS_CUI:C0598894|UMLS_CUI:C0153886,indication,DM|label,DB00694","Acute lymphoid leukemia, disease,C0023449,DOID:9952|Acute promyelocytic leukemia, FAB M3,C0023487,DOID:0060318|Acute monocytic/monoblastic leukemia,C0023465,|Acute myeloid leukemia, disease,C0023467,DOID:9119|Erythroleukemia, FAB M6,C0023440,|Kaposis sarcoma,C0036220,DOID:8632|",1777,6,4,1,1,6,3,1,0,1,"C0023440,C0023470,C0598894,C0153886","C0023449,C0023487,C0023465,C0023467,C0023440,C0036220",C0023440,C0023440,"C0023440,C0023470,C0598894"
L01DB09,valrubicin                                                                                                                                                                                                                                                ,2805,e96f30a0-6662-11de-8f80-0002a5d5c51b                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0154091,role:context,UMLS_CUI:C0444473|UMLS_CUI:C0154091,indication,DM|label,DB00385","Malignant tumor of urinary bladder,C0005684,DOID:11054|",1779,1,2,0,0,1,1,1,0,1,"C0444473,C0154091",C0005684,,,C0444473
L01BC05,gemcitabine                                                                                                                                                                                                                                               ,1283,d16907e7-a8c8-4039-ace4-cf4e24ba68c0                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0235974,target:DOID_1793,role:co-prescribed medications,DB00544|UMLS_CUI:C0235974,DOID_1793,indication,SYM|UMLS_CUI:C0007131,DOID_3908,indication,DM|target:UMLS_CUI:C0678222,target:DOID_1612,role:co-prescribed medications,DB01229|target:UMLS_CUI:C0029925,target:DOID_2394,role:co-prescribed medications,DB00958|UMLS_CUI:C0678222,indication,DM,DOID_1612|DOID_2394,UMLS_CUI:C0029925,indication,DM|label,DB00441","Non-small cell lung cancer,C0007131,DOID:3908|Adenocarcinoma of pancreas,C0281361,DOID:4074|Malignant tumor of ovary,C1140680,DOID:2394|Metastatic Breast Carcinoma,,|",1772,3,4,1,0,4,0,4,1,4,"C0235974,C0007131,C0678222,C0029925","C0007131,C0281361,C1140680",C0007131,,
L01CA04,vinorelbine                                                                                                                                                                                                                                               ,2827,dd3dcc9a-e40c-4677-9ee6-f318e7c7d835                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0278987,role:co-prescribed medications,DB00515|UMLS_CUI:C0278987,indication,DM|label,DB00361","Non-small cell lung cancer,C0007131,DOID:3908|",1775,1,1,0,0,1,0,1,0,1,C0278987,C0007131,,,
L01XE02,gefitinib                                                                                                                                                                                                                                                 ,1282,827d60e8-7e07-41b7-c28b-49ef1c4a5a41                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0278987,role:genetic,UMLS_CUI:C3511545|UMLS_CUI:C0278987,indication,DM","Non-small cell lung cancer,C0007131,DOID:3908|Non-small cell lung cancer, positive for epidermal growth factor receptor expression,C1960925,|",1785,2,2,0,0,2,1,1,0,1,"C3511545,C0278987","C0007131,C1960925",,,C3511545
L01XX08,pentostatin                                                                                                                                                                                                                                               ,2098,151c6d2e-1af1-4c13-96ec-de3228c6efb3                                                                                                                                                                                                                      ,"target:UMLS_CUI:C0279778,role:co-morbidities,DOID_1588,UMLS_CUI:C0040034|UMLS_CUI:C0002871,DOID_2355,target:UMLS_CUI:C0279778,role:co-morbidities|DOID_1227,UMLS_CUI:C0027947,target:UMLS_CUI:C0279778,role:co-morbidities|UMLS_CUI:C0279778,UMLS_CUI:C0279780,indication,DM|label,DB00552","Hairy cell leukemia,C0023443,DOID:285|",1788,1,5,0,0,1,3,2,0,2,"C0040034,C0002871,C0027947,C0279778,C0279780",C0023443,,,"C0040034,C0002871,C0027947"
